name,addr,city,state,zip,phn,lng,lat
"Refugee Services of Texas, Inc. - Amarillo",7801 North Lamar Rd.,Amarillo,TX,79106,,-101.8642056,35.2230254
"Refugee Services of Texas, Inc. - Austin",7801 North Lamar Rd.,Austin,TX,78752,,-97.71341871,30.3456117
"Refugee Services of Texas, Inc. - Fort Worth",1801 Circle Drive,Fort Worth,TX,76119,,-97.30806,32.674404
Refugee Services/St. Vincent Catholic Charities,2800 West Willow,Lansing,MI,48917,517-323-4734 x1402,-84.58776,42.748383
Resettlement & Immigration Services Catholic Charities,1825 Riverside Dr,Green Bay,WI,54301,920-272-8234,-88.0266057,44.4873989
Sacramento Food Bank & Family Services,2469 Rio Linda Blvd.,Sacramento,CA,95815,916-949-6745,-121.449394,38.612247
SOAR/Ecumenical Ministries Of Oregon,7931 NE Halsey Street,Portland,OR,97213,503-284-3002,-122.581853,45.53364649
Southern Sudan Community Association,3610 Dodge Street,Omaha,NE,68132,402-554-0759,-95.96699142,41.25967048
Spokane Neighborhood Action Partners,3102 W Fort George Wright Dr,Spokane,WA,99224,408.261.6400,-117.456726,47.677765
US Together - Toledo office,3450 W. Central Avenue,Toledo,OH,43606,419-469-2529,-83.62742294,41.67733549
"US Together, Inc. ","2021 E. Dublin-Granville Rd, Suite 190",Columbus,OH,43229,614-310-3203,-82.96297,40.086624
"US Together, Inc. -- Cleveland",2490 Lee Blvd.,Cleveland Heights,OH,44121,216-456-9630 x3415,-81.56936274,41.51626814
USCRI Albany,"991 Broadway, Suite 223",Albany,NY,12204,518-459-1790,-73.74335,42.663635
USCRI Des Moines,"100 East Euclid, Suite 105",Des Moines,IA,50313,515-528-7525,-93.617424,41.6277
USCRI Detroit,13942 Michigan Ave.,Dearborn,MI,48126,313-581-4420,-83.18006648,42.3210356
USCRI North Carolina,"3801 Lake Boone Trail, Suite 200",Raleigh,NC,27607,919-334-0072,-78.69343,35.815697
Vermont Refugee Resettlement Program,"462 Hegeman Ave., Suite 101",Colchester,VT,5446,802-654-1700 ,-73.15005,44.50643
Western Kentucky Refugee Mutual Assistance - Owensboro,233 West 9th Street,Owensboro,KY,42301,270-256-2598,-87.11205,37.767433
Western Kentucky Refugee Mutual Assistance-Bowling Green,806 Kenton St.,Bowling Green,KY,42101,270-781-8336,-86.432144,36.986385
World Relief Akron,801 Grant Street,Akron,OH,44221,214-471-7478,-81.51804,41.061703
World Relief Anne Arundel,"102 6th Ave. NE, Suite A",Glen Burnie,MD,21060,410-760-4514,-76.61875,39.17155
World Relief Atlanta,655 Village Square Dr.,Stone Mountain,GA,30083,404-294-4352,-84.2130237,33.79600412
World Relief Aurora,73 S. LaSalle St.,Aurora,IL,60505,630-906-9546,-88.3160779,41.7549905
World Relief Chicago,3507 West Lawrence,Chicago,IL,60625,773-583-9191,-87.71609604,41.96829586
World Relief Columbus,889 Sinclair Rd #206,Columbus,OH,43231,614-337-2448,-83.2777078,40.0657135
World Relief DuPage,"1825 College Ave., Suite 230",Wheaton,IL,60187,630-462-7566,-88.08178,41.87484
World Relief Durham,801 Gilbert Street #209,Durham,NC,27701,919-286-3496,-78.88955,35.995865
World Relief Fort Worth,4059 Bryan Avenue,Fort Worth,TX,76110,,-97.32486,32.688953
World Relief Fox Valley,"115 Washington Avenue, Suite 400",Oshkosh,WI,54901,920-231-3600,-88.53611,44.017685
World Relief Garden Grove,"13121 Brookhurst Street, #G",Garden Grove,CA,92843,714-210-4730,-117.95503,33.772446
World Relief High Point,"155 Northpoint Ave, Suite 102",High Point,NC,27262,336-887-9007,-80.022995,35.98793
World Relief Jacksonville,5107 University Blvd.,Jacksonville,FL,32216,904-858-9625,-81.61595,30.267456
World Relief Memphis,3340 Poplar Avenue,Memphis,TN,38111,901-341-0220,-89.95100652,35.1293669
World Relief Miami,2150 SW 8th St,Miami,FL,33135,305-541-8320,-80.22971247,25.76541655
World Relief Modesto,1401 F Street,Modesto,CA,95354,209-491-2712,-120.99181,37.639584
World Relief Moline,1204 4th Ave.,Moline,IL,61265,208-323-4964,-90.5207064,41.50570223
World Relief Nashville,1655 Murfreesboro Pike,Nashville,TN,37217,615-833-7735,-86.669945,36.104874
World Relief Sacramento,"3750 Auburn Blvd, Suite B",Sacramento,CA,95821,916-978-2650,-121.37682,38.63946
World Relief Seattle,"841 N Central Ave, Suite 106",Kent,WA,98032,253-277-1121,-122.233866,47.3897626
World Relief Spartanburg,622 Alamo Street,Spartanburg,SC,29376,864-336-3166,-81.95954,34.977375
World Relief Spokane,1522 North Washington,Spokane,WA,99201,509-484-9829,-117.4172822,47.67190247
World Relief Tri-Cities,"2600 North Columbia Ctr. Blvd., Suite 206",Richland,WA,99352,509-734-5477,-119.22325,46.23618
YMCA International Services,6300 West Park Dr,Houston,TX,77057,,-95.49671394,29.72341243
"Youth Co-Op, Inc., Palm Springs",2112 Congress Avenue,Palm Springs,FL,33406,561-964-1693,-80.08795277,26.64555289
